system:index,elevation,landslide,latitude,longitude,rainfall,slope,soil_moisture,.geo
1_00000000000000000069_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000006a_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000006b_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000006c_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000006d_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000006f_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000072_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000073_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000074_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000076_0,3902,1,27.341886734723694,88.82520146029844,4317.171643737218,6.5947537,0.3524136805863973,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000078_0,3902,1,27.341886734723694,88.82520146029844,4317.171643737218,6.5947537,0.3524136805863973,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000007c_0,3902,1,27.341886734723694,88.82520146029844,4317.171643737218,6.5947537,0.3524136805863973,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000055_0,3902,1,27.341886734723694,88.82520146029844,4317.171643737218,6.5947537,0.3524136805863973,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000056_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000057_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000058_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000059_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000005a_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000005b_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000060_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000061_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000065_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000066_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000067_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000068_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000006e_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000070_0,4340,1,27.44070141597684,88.82520146029844,4226.458515289685,3.7322001,0.37239557931723904,"{""type"":""MultiPoint"",""coordinates"":[]}"
